رمز المساق,رقم المساق,الشعبة,اسم المساق,الساعات,سعة القاعة,سبت,حد,ثن,ثل,ربع,خمس,جمع,وقت البداية,وقت النهاية,الحد الاقصى,الشعبة ملغاة,رمز القاعة,عدد المسجلين,المحاضر,طريقة  تدريس المساق
CIS,240,3,مدخل الى هندسة البرمجيات,3,57,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,57,لا,م.ق 205,54,عماد السخني,وجاهي
CIS,240,4,مدخل الى هندسة البرمجيات,3,55,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,55,لا,م.ق 208,34,ابرار عبدالحق,وجاهي
CIS,260,1,نظم قواعد البيانات,3,72,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,64,لا,خز 324,59,ابرار عبدالحق,وجاهي
CIS,260,2,نظم قواعد البيانات,3,55,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,50,لا,م.ق 207,28,عبدالله الاخرس,وجاهي
CIS,260,3,نظم قواعد البيانات,3,72,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,66,لا,خز 324,65,عبدالله الاخرس,وجاهي
CIS,260,4,نظم قواعد البيانات,3,72,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,60,لا,خز 324,60,ابرار عبدالحق,وجاهي
CIS,260L,1,مختبر نظم قواعد البيانات,1,33,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,33,لا,م.ق 102,33,سهى ربابعه,وجاهي
CIS,260L,2,مختبر نظم قواعد البيانات,1,39,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,39,لا,م.ق 103,39,عبدالله الاخرس,وجاهي
CIS,260L,3,مختبر نظم قواعد البيانات,1,39,  ,  ,X,  ,X,  ,  ,10:00:00 AM,11:30:00 AM,40,لا,م.ق 103,40,سهى ربابعه,وجاهي
CIS,265,1,إدارة نظم قواعد البيانات,3,300,  ,X,  ,X,  ,X,  ,07:30:00 PM,08:30:00 PM,92,لا,0 Oline,92,مريم نصير,إلكتروني
CIS,340,1,التحليل والتصميم الكينوني,3,300,X,  ,X,  ,X,  ,  ,06:30:00 PM,07:30:00 PM,37,لا,0 Oline,33,سحر العمري,إلكتروني
CIS,340L,1,مختبر التحليل والتصميم الكينوني,1,35,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,34,لا,خز 103,34,سحر العمري,وجاهي
CIS,342,1,تحليل وتصميم النظم,3,55,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,58,لا,م.ق 208,58,احمد علي سعيفان,وجاهي
CIS,342,2,تحليل وتصميم النظم,3,57,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,59,لا,م.ق 206,59,احمد علي سعيفان,وجاهي
CIS,360,1,تطوير تطبيقات قواعد البيانات,3,39,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,41,لا,م.ق 103,41,مريم نصير,وجاهي
CIS,367,1,مستودعات البيانات,3,57,X,  ,X,  ,X,  ,  ,08:30:00 AM,09:30:00 AM,41,لا,م.ق 205,40,مريم نصير,مدمج
CIS,370,1,النظم الذكية وانترنت الاشياء,3,99,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,64,لا,خز 316,64,رامي ضرار ملكاوي,وجاهي
